Episode 10: reward: 6.700, steps: 77
Episode 11: reward: 7.300, steps: 73
Episode 12: reward: 59.000, steps: 280
Episode 13: reward: 3.100, steps: 61
Episode 14: reward: 54.200, steps: 262
Episode 15: reward: 23.400, steps: 144
Episode 16: reward: 17.500, steps: 115
Episode 17: reward: 33.000, steps: 180
Episode 18: reward: 6.200, steps: 72
Episode 19: reward: 21.100, steps: 131
Episode 20: reward: -0.300, steps: 47
Episode 21: reward: -2.100, steps: 39
Episode 22: reward: -3.800, steps: 32
Episode 23: reward: 2.600, steps: 56
Episode 24: reward: 43.400, steps: 224
Episode 25: reward: 1.200, steps: 52
Episode 26: reward: 9.400, steps: 84
Episode 27: reward: 52.900, steps: 259
Episode 28: reward: 20.300, steps: 123
Episode 29: reward: 52.900, steps: 259
Episode 30: reward: 1.500, steps: 55
Episode 31: reward: 19.500, steps: 125
Episode 32: reward: 127.600, steps: 546
Episode 33: reward: 7.700, steps: 77
Episode 34: reward: 9.200, steps: 82
Episode 35: reward: 5.400, steps: 64
Episode 36: reward: 52.900, steps: 259
Episode 37: reward: -0.700, steps: 43
Episode 38: reward: 27.800, steps: 158
Episode 39: reward: 3.100, steps: 61
Episode 40: reward: 72.700, steps: 327
Episode 41: reward: 4.400, steps: 64
Episode 42: reward: 40.000, steps: 210
Episode 43: reward: 52.900, steps: 259
Episode 44: reward: 52.900, steps: 259
Episode 45: reward: 52.900, steps: 259
Episode 46: reward: 5.000, steps: 70
Episode 47: reward: 68.100, steps: 311
Episode 48: reward: 52.900, steps: 259
Episode 49: reward: 52.900, steps: 259
Episode 50: reward: 52.900, steps: 259
Episode 1: reward: 25.900, steps: 149
Episode 2: reward: 4.400, steps: 64
Episode 3: reward: 52.300, steps: 253
Episode 4: reward: 34.800, steps: 188
Episode 5: reward: 31.300, steps: 173
Episode 6: reward: 19.500, steps: 125
Episode 7: reward: -2.000, steps: 40
Episode 8: reward: 41.700, steps: 217
Episode 9: reward: 27.400, steps: 154
Episode 10: reward: 5.000, steps: 70
Episode 11: reward: 5.400, steps: 64
Episode 12: reward: 34.800, steps: 188
Episode 13: reward: 34.600, steps: 186
Episode 14: reward: 34.800, steps: 188
Episode 15: reward: 7.800, steps: 78
Episode 16: reward: 34.800, steps: 188
Episode 17: reward: 56.700, steps: 277
Episode 18: reward: 5.300, steps: 63
Episode 19: reward: 104.900, steps: 459
Episode 20: reward: 54.900, steps: 269
Episode 21: reward: 17.400, steps: 114
Episode 22: reward: 8.000, steps: 80
Episode 23: reward: 4.300, steps: 63
Episode 24: reward: 2.900, steps: 59
Episode 25: reward: 2.400, steps: 54
Episode 26: reward: 8.500, steps: 85
Episode 27: reward: 44.300, steps: 223
Episode 28: reward: -0.300, steps: 47
Episode 29: reward: 29.500, steps: 165
Episode 30: reward: 8.400, steps: 84
Episode 31: reward: 1.100, steps: 51
Episode 32: reward: 34.800, steps: 188
Episode 33: reward: 85.700, steps: 377
Episode 34: reward: 34.100, steps: 181
Episode 35: reward: 50.700, steps: 247
Episode 36: reward: 26.200, steps: 152
Episode 37: reward: 110.300, steps: 483
Episode 38: reward: 4.200, steps: 62
Episode 39: reward: 22.600, steps: 136
Episode 40: reward: 53.100, steps: 261
Episode 41: reward: 87.600, steps: 386
Episode 42: reward: 6.600, steps: 76
Episode 43: reward: 2.400, steps: 54
Episode 44: reward: 81.800, steps: 358
Episode 45: reward: 23.300, steps: 143
Episode 46: reward: 2.200, steps: 52
Episode 47: reward: 1.200, steps: 52
Episode 48: reward: 44.500, steps: 225
Episode 49: reward: 9.200, steps: 82
Episode 50: reward: 0.900, steps: 49
Episode 1: reward: 76.800, steps: 348
Episode 2: reward: 41.000, steps: 210
Episode 3: reward: 83.100, steps: 371
Episode 4: reward: 89.300, steps: 393
Episode 5: reward: 127.600, steps: 546
Episode 6: reward: 27.300, steps: 153
Episode 7: reward: 54.200, steps: 262
Episode 8: reward: 21.600, steps: 136
Episode 9: reward: -4.300, steps: 27
Episode 10: reward: 66.600, steps: 306
Episode 11: reward: 9.400, steps: 84
Episode 12: reward: 34.800, steps: 188
Episode 13: reward: 89.300, steps: 393
Episode 14: reward: 129.600, steps: 556
Episode 15: reward: 2.400, steps: 54
Episode 16: reward: 49.000, steps: 240
Episode 17: reward: 94.500, steps: 415
Episode 18: reward: 22.600, steps: 136
Episode 19: reward: 274.000, steps: 1120
Episode 20: reward: 95.500, steps: 415
Episode 21: reward: 44.500, steps: 225
Episode 22: reward: 7.400, steps: 74
Episode 23: reward: 12.900, steps: 99
Episode 24: reward: 90.000, steps: 400
Episode 25: reward: 57.400, steps: 274
Episode 26: reward: 85.900, steps: 379
Episode 27: reward: 39.200, steps: 202
Episode 28: reward: 59.300, steps: 283
Episode 29: reward: -5.600, steps: 24
Episode 30: reward: 128.300, steps: 553
Episode 31: reward: 227.000, steps: 930
Episode 32: reward: 42.700, steps: 217
Episode 33: reward: 52.000, steps: 250
Episode 34: reward: 81.200, steps: 362
Episode 35: reward: 130.600, steps: 556
Episode 36: reward: 19.800, steps: 128
Episode 37: reward: 48.700, steps: 247
Episode 38: reward: -0.300, steps: 47
Episode 39: reward: 125.600, steps: 536
Episode 40: reward: 41.000, steps: 210
Episode 41: reward: 88.200, steps: 392
Episode 42: reward: 29.500, steps: 165
Episode 43: reward: 19.200, steps: 122
Episode 44: reward: 347.200, steps: 1402
Episode 45: reward: 24.400, steps: 144
Episode 46: reward: 11.100, steps: 91
Episode 47: reward: 6.600, steps: 76
Episode 48: reward: 31.000, steps: 170
Episode 49: reward: 96.300, steps: 423
Episode 50: reward: 1.400, steps: 54
Episode 1: reward: 18.100, steps: 121
Episode 2: reward: 157.600, steps: 656
Episode 3: reward: 3.800, steps: 58
Episode 4: reward: 196.200, steps: 812
Episode 5: reward: 92.300, steps: 403
Episode 6: reward: 132.000, steps: 560
Episode 7: reward: 201.300, steps: 833
Episode 8: reward: 738.900, steps: 2919
Episode 9: reward: 16.300, steps: 113
Episode 10: reward: 14.000, steps: 100
Episode 11: reward: 36.200, steps: 192
Episode 12: reward: 40.600, steps: 206
Episode 13: reward: 127.400, steps: 544
Episode 14: reward: 52.900, steps: 259
Episode 15: reward: 63.400, steps: 294
Episode 16: reward: 4.300, steps: 63
Episode 17: reward: 79.600, steps: 356
Episode 18: reward: 127.600, steps: 546
Episode 19: reward: 27.500, steps: 155
Episode 20: reward: 29.500, steps: 165
Episode 21: reward: 99.800, steps: 438
Episode 22: reward: 275.000, steps: 1120
Episode 23: reward: 54.800, steps: 268
Episode 24: reward: 129.900, steps: 559
Episode 25: reward: 124.300, steps: 533
Episode 26: reward: 123.400, steps: 534
Episode 27: reward: 303.400, steps: 1224
Episode 28: reward: 54.900, steps: 269
Episode 29: reward: 93.000, steps: 410
Episode 30: reward: 296.300, steps: 1203
Episode 31: reward: 92.400, steps: 404
Episode 32: reward: 21.100, steps: 131
Episode 33: reward: 127.600, steps: 546
Episode 34: reward: 335.800, steps: 1358
Episode 35: reward: 83.000, steps: 370
Episode 36: reward: 18.200, steps: 122
Episode 37: reward: 201.700, steps: 837
Episode 38: reward: 17.200, steps: 112
Episode 39: reward: 184.600, steps: 766
Episode 40: reward: 212.800, steps: 878
Episode 41: reward: 187.000, steps: 780
Episode 42: reward: 48.000, steps: 240
Episode 43: reward: 56.800, steps: 278
Episode 44: reward: 210.700, steps: 867
Episode 45: reward: 98.900, steps: 429
Episode 46: reward: 89.100, steps: 391
Episode 47: reward: 52.900, steps: 259
Episode 48: reward: 1.000, steps: 50
Episode 49: reward: 89.600, steps: 396
Episode 50: reward: 130.100, steps: 561
Episode 1: reward: 69.300, steps: 313
Episode 2: reward: 6.200, steps: 72
Episode 3: reward: 129.200, steps: 552
Episode 4: reward: 160.300, steps: 673
Episode 5: reward: 27.300, steps: 153
Episode 6: reward: 33.700, steps: 177
Episode 7: reward: 9.100, steps: 81
Episode 8: reward: 303.200, steps: 1232
Episode 9: reward: 202.300, steps: 843
Episode 10: reward: 25.600, steps: 146
Episode 11: reward: 50.400, steps: 244
Episode 12: reward: 201.300, steps: 833
Episode 13: reward: 57.500, steps: 275
Episode 14: reward: 134.600, steps: 576
Episode 15: reward: 129.300, steps: 553
Episode 16: reward: 27.800, steps: 158
Episode 17: reward: 35.400, steps: 184
Episode 18: reward: 26.300, steps: 153
Episode 19: reward: 68.100, steps: 311
Episode 20: reward: 24.300, steps: 143
Episode 21: reward: 27.200, steps: 152
Episode 22: reward: 63.800, steps: 298
Episode 23: reward: 29.000, steps: 160
Episode 24: reward: 254.200, steps: 1042
Episode 25: reward: 15.800, steps: 108
Episode 26: reward: 93.000, steps: 410
Episode 27: reward: 9.100, steps: 81
Episode 28: reward: 31.700, steps: 167
Episode 29: reward: 56.400, steps: 274
Episode 30: reward: 152.900, steps: 639
Episode 31: reward: 19.800, steps: 128
Episode 32: reward: 124.000, steps: 530
Episode 33: reward: 203.900, steps: 849
Episode 34: reward: 200.300, steps: 833
Episode 35: reward: 27.200, steps: 152
Episode 36: reward: 140.100, steps: 591
Episode 37: reward: 246.100, steps: 1011
Episode 38: reward: 5.800, steps: 68
Episode 39: reward: 34.800, steps: 188
Episode 40: reward: 7.500, steps: 75
Episode 41: reward: 349.700, steps: 1407
Episode 42: reward: 191.700, steps: 797
Episode 43: reward: 56.100, steps: 271
Episode 44: reward: 156.600, steps: 656
Episode 45: reward: 34.000, steps: 180
Episode 46: reward: 131.100, steps: 561
Episode 47: reward: 32.400, steps: 174
Episode 48: reward: 109.100, steps: 471
Episode 49: reward: 116.000, steps: 500
Episode 50: reward: 25.900, steps: 149
Episode 1: reward: 22.500, steps: 135
Episode 2: reward: 5.900, steps: 69
Episode 3: reward: 170.000, steps: 710
Episode 4: reward: 4.300, steps: 63
Episode 5: reward: 32.500, steps: 175
Episode 6: reward: 54.800, steps: 268
Episode 7: reward: 9.400, steps: 84
Episode 8: reward: 72.800, steps: 328
Episode 9: reward: 53.900, steps: 259
Episode 10: reward: 22.700, steps: 137
Episode 11: reward: 42.200, steps: 212
Episode 12: reward: -0.300, steps: 47
Episode 13: reward: 54.700, steps: 267
Episode 14: reward: 41.000, steps: 210
Episode 15: reward: 12.900, steps: 99
Episode 16: reward: 57.400, steps: 274
Episode 17: reward: 275.000, steps: 1120
Episode 18: reward: 129.600, steps: 556
Episode 19: reward: 109.600, steps: 476
Episode 20: reward: 219.000, steps: 900
Episode 21: reward: 54.900, steps: 269
Episode 22: reward: 7.300, steps: 73
Episode 23: reward: 103.100, steps: 451
Episode 24: reward: 11.000, steps: 90
Episode 25: reward: 131.200, steps: 562
Episode 26: reward: 556.300, steps: 2203
Episode 27: reward: 186.800, steps: 778
Episode 28: reward: 7.300, steps: 73
Episode 29: reward: 42.400, steps: 214
Episode 30: reward: 116.300, steps: 503
Episode 31: reward: 164.000, steps: 680
Episode 32: reward: 122.800, steps: 528
Episode 33: reward: 27.800, steps: 158
Episode 34: reward: 79.600, steps: 356
Episode 35: reward: 42.700, steps: 217
Episode 36: reward: 54.700, steps: 267
Episode 37: reward: 393.600, steps: 1576
Episode 38: reward: 8.900, steps: 79
Episode 39: reward: 94.000, steps: 410
Episode 40: reward: 12.800, steps: 98
Episode 41: reward: 21.700, steps: 137
Episode 42: reward: 37.500, steps: 195
Episode 43: reward: 213.800, steps: 878
Episode 44: reward: 59.200, steps: 282
Episode 45: reward: 22.000, steps: 130
Episode 46: reward: 58.000, steps: 280
Episode 47: reward: 2.400, steps: 54
Episode 48: reward: 12.300, steps: 93
Episode 49: reward: 128.600, steps: 546
Episode 50: reward: 27.200, steps: 152
Episode 1: reward: 39.100, steps: 201
Episode 2: reward: 5.300, steps: 63
Episode 3: reward: 20.900, steps: 129
Episode 4: reward: 8.900, steps: 79
Episode 5: reward: 18.800, steps: 118
Episode 6: reward: 360.200, steps: 1452
Episode 7: reward: 4.200, steps: 62
Episode 8: reward: 20.900, steps: 129
Episode 9: reward: 36.600, steps: 196
Episode 10: reward: 44.400, steps: 224
Episode 11: reward: 125.900, steps: 539
Episode 12: reward: 122.900, steps: 529
Episode 13: reward: 6.000, steps: 70
Episode 14: reward: 23.900, steps: 139
Episode 15: reward: 27.300, steps: 153
Episode 16: reward: 43.500, steps: 215
Episode 17: reward: 126.600, steps: 546
Episode 18: reward: 9.000, steps: 80
Episode 19: reward: 5.400, steps: 64
Episode 20: reward: 26.000, steps: 150
Episode 21: reward: 54.700, steps: 267
Episode 22: reward: 202.300, steps: 833
Episode 23: reward: 50.600, steps: 246
