Episode 11: reward: 5.800, steps: 68
Episode 12: reward: 55.900, steps: 269
Episode 13: reward: 52.900, steps: 259
Episode 14: reward: 104.500, steps: 455
Episode 15: reward: 83.100, steps: 371
Episode 16: reward: 40.000, steps: 210
Episode 17: reward: 59.200, steps: 282
Episode 18: reward: 54.400, steps: 264
Episode 19: reward: 7.400, steps: 74
Episode 20: reward: 18.100, steps: 121
Episode 21: reward: 4.500, steps: 65
Episode 22: reward: 36.400, steps: 194
Episode 23: reward: 53.200, steps: 262
Episode 24: reward: -0.300, steps: 47
Episode 25: reward: 12.600, steps: 96
Episode 26: reward: 19.700, steps: 127
Episode 27: reward: 39.700, steps: 207
Episode 28: reward: 124.900, steps: 539
Episode 29: reward: 41.500, steps: 215
Episode 30: reward: -0.500, steps: 45
Episode 31: reward: 34.700, steps: 187
Episode 32: reward: 5.000, steps: 70
Episode 33: reward: 35.800, steps: 188
Episode 34: reward: 36.500, steps: 195
Episode 35: reward: 8.400, steps: 84
Episode 36: reward: 19.500, steps: 125
Episode 37: reward: 119.000, steps: 510
Episode 38: reward: 32.600, steps: 176
Episode 39: reward: 56.400, steps: 274
Episode 40: reward: 19.300, steps: 123
Episode 41: reward: 14.700, steps: 107
Episode 42: reward: 19.900, steps: 129
Episode 43: reward: 126.600, steps: 546
Episode 44: reward: 86.100, steps: 381
Episode 45: reward: 10.600, steps: 86
Episode 46: reward: 52.900, steps: 259
Episode 47: reward: 39.600, steps: 206
Episode 48: reward: 54.700, steps: 267
Episode 49: reward: 91.500, steps: 405
Episode 50: reward: 54.100, steps: 261
Episode 1: reward: 75.000, steps: 340
Episode 2: reward: 16.000, steps: 110
Episode 3: reward: 9.400, steps: 84
Episode 4: reward: 27.600, steps: 156
Episode 5: reward: 2.800, steps: 58
Episode 6: reward: 20.600, steps: 126
Episode 7: reward: 5.300, steps: 63
Episode 8: reward: 6.200, steps: 72
Episode 9: reward: 14.500, steps: 105
Episode 10: reward: 61.300, steps: 293
Episode 11: reward: 6.200, steps: 72
Episode 12: reward: 25.000, steps: 150
Episode 13: reward: 3.800, steps: 58
Episode 14: reward: 22.800, steps: 138
Episode 15: reward: 34.200, steps: 182
Episode 16: reward: 85.600, steps: 386
Episode 17: reward: 55.900, steps: 269
Episode 18: reward: 21.300, steps: 133
Episode 19: reward: 7.800, steps: 78
Episode 20: reward: 6.100, steps: 71
Episode 21: reward: 3.200, steps: 62
